"Test Time, secs","Target Speed, mph"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1.2
32,4.2
33,7.3
34,8.8
35,10.8
36,12.3
37,13.1
38,12.3
39,12.3
40,11.5
41,11.5
42,11.1
43,11.1
44,11.1
45,13.1
46,15
47,16.9
48,16.9
49,16.1
50,15.7
51,15.4
52,15
53,13.8
54,10.8
55,8.4
56,6.1
57,4.2
58,3.5
59,3.5
60,1.5
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1.2
74,3.5
75,7.7
76,11.1
77,13.8
78,16.5
79,18.4
80,20.4
81,20.7
82,19.6
83,17.3
84,12.3
85,8.1
86,6.1
87,9.6
88,12.7
89,15.7
90,18
91,20.4
92,21.9
93,23.4
94,23.8
95,24.6
96,25
97,26.1
98,26.1
99,26.9
100,26.9
101,26.9
102,26.5
103,25.7
104,21.9
105,16.5
106,10
107,4.6
108,1.5
109,0.4
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0.4
119,1.2
120,1.9
121,3.8
122,7.7
123,11.5
124,14.6
125,18
126,21.5
127,25
128,28.4
129,30.7
130,31.9
131,32.3
132,32.3
133,31.9
134,30.3
135,28
136,24.2
137,20
138,16.1
139,11.5
140,8.1
141,5
142,3.5
143,1.9
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1.5
154,6.9
155,12.7
156,16.5
157,20
158,23
159,25.7
160,28
161,30.7
162,32.6
163,34.2
164,35.3
165,36.9
166,36.9
167,37.2
168,37.6
169,37.6
170,37.6
171,37.2
172,37.2
173,36.9
174,36.5
175,36.5
176,34.9
177,33.4
178,31.9
179,29.2
180,25
181,25
182,26.1
183,27.6
184,29.2
185,31.1
186,32.3
187,34.2
188,34.9
189,35.7
190,36.5
191,36.9
192,36.9
193,37.2
194,37.6
195,37.2
196,37.6
197,38
198,38.4
199,39.2
200,39.6
201,39.9
202,40.7
203,40.3
204,41.1
205,41.1
206,40.7
207,31.9
208,23.9
209,15.9
210,7.9
211,2.7
212,0.4
213,0.4
214,2.7
215,3.8
216,3.8
217,1.5
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,1.5
249,5
250,8.8
251,11.5
252,14.2
253,15.4
254,16.1
255,16.1
256,16.9
257,16.5
258,16.9
259,18
260,19.2
261,20.4
262,20.4
263,21.1
264,21.1
265,22.3
266,23
267,23.8
268,24.2
269,24.6
270,25
271,25.7
272,25.7
273,26.5
274,27.6
275,28.4
276,29.2
277,30.3
278,31.1
279,31.1
280,30.7
281,31.1
282,29.6
283,29.2
284,29.2
285,28.8
286,28
287,23
288,21.1
289,21.5
290,20.7
291,20.7
292,19.6
293,16.5
294,13.1
295,9.6
296,7.3
297,3.8
298,0.8
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0.4
324,2.7
325,7.3
326,11.5
327,15.4
328,18.4
329,20.7
330,24.2
331,26.9
332,29.6
333,31.1
334,32.6
335,33.8
336,34.9
337,36.9
338,39.2
339,41.1
340,43
341,43.8
342,44.5
343,45.3
344,45.3
345,44.9
346,44.5
347,43.8
348,43.4
349,42.6
350,41.9
351,41.5
352,40.7
353,40.3
354,41.1
355,41.5
356,42.6
357,43.4
358,44.2
359,44.9
360,45.7
361,46.5
362,46.8
363,47.2
364,48
365,47.6
366,48.4
367,48
368,47.2
369,46.1
370,45.7
371,44.9
372,44.2
373,43.8
374,44.5
375,44.9
376,45.3
377,46.5
378,48
379,48.8
380,49.5
381,49.9
382,49.9
383,49.9
384,49.5
385,49.5
386,48.8
387,48.8
388,48.8
389,48.4
390,48.8
391,49.5
392,50.3
393,50.7
394,51.8
395,52.6
396,53.4
397,54.1
398,55.3
